"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1943,"Medication Review in Women With Depression and Anxiety","Completed","No Results Available","Depression, Anxiety|Adherence, Patient","Other: Medication management review",,"https://ClinicalTrials.gov/show/NCT04082871"
1944,"Ketamine Interleaved With Electroconvulsive Therapy for Depression","Not yet recruiting","No Results Available","Depression","Drug: Ketamine|Drug: Midazolam",,"https://ClinicalTrials.gov/show/NCT04082858"
1945,"Effect of Web-Based Training With Thyroidectomy Patients","Completed","No Results Available","Thyroidectomy|Education|General Surgery|Patient","Other: Education","Bahar Candas Altinbas, Trabzon, Turkey","https://ClinicalTrials.gov/show/NCT04082845"
1946,"CuATSM Compared With Placebo for Treatment of ALS/MND","Not yet recruiting","No Results Available","Amyotrophic Lateral Sclerosis","Drug: Cu(II)ATSM|Drug: Placebos",,"https://ClinicalTrials.gov/show/NCT04082832"
1947,"MediBeat - HeartBeat Observation Trial","Not yet recruiting","No Results Available","Low Blood Pressure|Blood Pressure|High Blood Pressure|Hypertension|Hypotension","Device: Contec CMS50EW|Device: Sphygmomanometer",,"https://ClinicalTrials.gov/show/NCT04082819"
1948,"Memory Enhancement by Gamma-hydroxybutyrate vs. Trazodone in Major Depressive Disorder.","Not yet recruiting","No Results Available","Major Depressive Disorder","Drug: GHB|Drug: Trazodone|Drug: Placebos",,"https://ClinicalTrials.gov/show/NCT04082806"
1949,"Photobiomodulation and Sonophoresis Improving Jaw Mobility and Quality of Life Among Head and Neck Cancer Survivors","Not yet recruiting","No Results Available","Head and Neck Cancer|Trismus","Combination Product: Photobiomodulation therapy with mandibular exercises|Combination Product: Sonophoresis with mandibular exercises",,"https://ClinicalTrials.gov/show/NCT04082793"
1950,"Rifamycin in Minimal Hepatic Encephalopathy","Recruiting","No Results Available","Hepatic Encephalopathy|Cirrhosis, Liver","Drug: Rifamycin SV MMX|Other: Placebo","Hunter Holmes McGuire VA Medical Center, Richmond, Virginia, United States","https://ClinicalTrials.gov/show/NCT04082780"
1951,"Sedation Efficacy of Dexmedetomidine Versus Midazolam in Critically Ill Ventilated Children","Not yet recruiting","No Results Available","Mechanically Ventilated, Critically Ill Children","Drug: Precedex|Drug: Midazolam",,"https://ClinicalTrials.gov/show/NCT04082767"
1952,"A Clinical Study to Test the Safety, Exposure, and Markers of Efficacy of CSL31 in Patients With Mild Asthma","Not yet recruiting","No Results Available","Asthma","Biological: Human beta common receptor antagonist monoclonal antibody|Drug: Placebo",,"https://ClinicalTrials.gov/show/NCT04082754"
1953,"A Single and Multiple Ascending Dose Study of BMS-986318 in Healthy Participants","Recruiting","No Results Available","Healthy Participants","Drug: BMS-986318|Other: Placebo","PRA Health Sciences - Lenexa, Lenexa, Kansas, United States","https://ClinicalTrials.gov/show/NCT04082741"
1954,"Evaluation of the Added Value of Metamizole to Standard Post-operative Treatment After Ambulant Surgery","Not yet recruiting","No Results Available","Analgesia|Surgery|Recovery","Drug: Metamizole|Drug: Placebo oral tablet",,"https://ClinicalTrials.gov/show/NCT04082728"
1955,"Transition From Acute to Chroni Back Pain : Effect of L-dopa,Gender,and Associated Brain Plasticity","Enrolling by invitation","No Results Available","Chronic Back Pain","Drug: carbidopa/levodopa and celecoxib|Drug: placebo1 and celecoxib|Drug: placebo1 and placebo2","Second Affiliated Hospital of Wenzhou Medical University, Wenzhou, Zhe Jiang, China","https://ClinicalTrials.gov/show/NCT04082715"
1956,"Better Me Within Trial to Improve Lifestyle Behaviors in African Americans","Completed","No Results Available","Obesity|Pre-diabetes","Behavioral: Faith-enhanced diabetes prevention program|Behavioral: Standard diabetes prevention program","UNT Health Science Center, Fort Worth, Texas, United States","https://ClinicalTrials.gov/show/NCT04082702"
1957,"Bowel And Bladder Function in Infant Toilet Training","Recruiting","No Results Available","Infantile Colic|Constipation - Functional|Bladder Dysfunction|Toilet Training","Behavioral: Infant Toilet Training","Familjecentral Elsborg, Falun, Dalarna, Sweden","https://ClinicalTrials.gov/show/NCT04082689"
1958,"Height Versus Height and Weight Based Spinal Bupivacaine on Maternal Haemodynamics for Elective Cesarean in Short Stature Patients","Not yet recruiting","No Results Available","Maternal Hypotension After Spinal Anesthesia","Drug: Hyperbaric bupivacaine spinal",,"https://ClinicalTrials.gov/show/NCT04082676"
1959,"Dental Appliance for Parkinson's Disease","Recruiting","No Results Available","Parkinson Disease","Device: Dental Mouthpiece","Washington University School of Medicine Program in Physical Therapy, Saint Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT04082663"
1960,"Vitamin D and Pregnancy Outcome in PCOS Patients","Not yet recruiting","No Results Available","Polycystic Ovary Syndrome|in Vitro Fertilization","Drug: vitamin D|Other: Placebo",,"https://ClinicalTrials.gov/show/NCT04082650"
1961,"Mindful Body Awareness With Buprenorphine for Opioid Use Disorder Treatment","Recruiting","No Results Available","Opioid-use Disorder","Behavioral: Mindful Awareness in Body-oriented Therapy","Harborview Hospital, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT04082637"
1962,"Workplace Wellness: Improving Your Experience at Work","Completed","No Results Available","Sedentary Behavior|Obesity","Behavioral: Nutrition condition|Behavioral: Affective condition|Behavioral: Instrumental condition|Behavioral: Self-regulation condition","Behavioural Medicine Laboratory, Victoria, British Columbia, Canada","https://ClinicalTrials.gov/show/NCT04082624"
1963,"The PREVENTION Trial: Precision Recommendations to Optimize Neurocognition","Recruiting","No Results Available","Alzheimer Disease|Mild Cognitive Impairment","Behavioral: Data-Driven Clinical Recommendations|Behavioral: Coached Data-Driven Clinical Recommendations","Pacific Brain Health Center, Santa Monica, California, United States","https://ClinicalTrials.gov/show/NCT04082611"
1964,"Antibiotic Therapy in Erupted Tooth Extractions","Completed","No Results Available","Tooth Extraction|Post-Op Complication|Amoxicillin","Drug: Amoxicillin Clavulanate|Dietary Supplement: Bifidobacterium longum and Lactoferrin",,"https://ClinicalTrials.gov/show/NCT04082598"
1965,"Total Health Improvement Program Research Project","Active, not recruiting","No Results Available","Chronic Disease|Cardiovascular Diseases|Hypertension|Diabetes|Pre-diabetes|Obesity","Behavioral: Total Health Improvement Program","Better Living Center, Roseburg, Oregon, United States","https://ClinicalTrials.gov/show/NCT04082585"
1966,"Pembrolizumab Before Surgery for the Treatment of Mismatch Repair Deficient Locally Advanced Solid Cancers","Not yet recruiting","No Results Available","High-Frequency Microsatellite Instability|Locally Advanced Malignant Solid Neoplasm|Loss of MLH1 Expression|Loss of MSH2 Expression|Loss of MSH6 Expression|Loss of PMS2 Expression|Mismatch Repair Protein Deficiency","Biological: Pembrolizumab","M D Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04082572"
1967,"Biomarker-based Multidisciplinary Team (Bio-MDT) Approach to Personalized Microbial-targeted Treatment of Pouchitis and Crohn's Disease","Recruiting","No Results Available","Inflammatory Bowel Diseases","Other: Arm 1- Antibiotics treatment|Other: Arm 2- Antibiotics treatment|Other: Arm 1- Combination therapy (Antibiotics + diet)|Other: Arm 2- Combination therapy (Antibiotics + diet)|Other: Arm 1- Nutritional prevention|Other: Arm 2- Nutritional prevention|Other: Arm 3- Nutritional prevention","Rabin Medical Center, Petah Tikva, Israel","https://ClinicalTrials.gov/show/NCT04082559"
1968,"Correlates of Left Ventricular Global Longitudinal Strain and Surgical Intervention on Myocardial Bridges","Recruiting","No Results Available","Myocardial Bridge of Coronary Artery","Procedure: Surgical unroofing of muscle-briged coronary artery","Ospedali Riuniti, Ancona, Italy","https://ClinicalTrials.gov/show/NCT04082546"
1969,"Intravenous (IV) Hydrocortisone for TKA (Total Knee Arthroplasty)","Not yet recruiting","No Results Available","Pain|Arthrofibrosis|Osteoarthritis, Knee","Drug: Hydrocortisone|Drug: Dextrose 5% in water (D5W)","Hospital for Special Surgery, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04082533"
1970,"Lutathera for the Treatment of Inoperable, Progressive Meningioma After External Beam Radiation Therapy","Not yet recruiting","No Results Available","Grade I Meningioma|Grade II Meningioma|Grade III Meningioma|Recurrent Meningioma|Unresectable Meningioma","Radiation: Gallium Ga 68-DOTATATE|Drug: Lutetium Lu 177 Dotatate|Procedure: Magnetic Resonance Imaging|Procedure: Positron Emission Tomography|Other: Quality-of-Life Assessment|Other: Questionnaire Administration","Mayo Clinic, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT04082520"
1971,"Maternal Serum Alpha-fetoprotein Level May Predict the Presence of Morbid Adherent Placenta","Enrolling by invitation","No Results Available","Placenta Accreta","Diagnostic Test: Serum alpha-fetoproteine","Ain shams university maternity hospital, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT04082507"
1972,"Impact on Postoperative Wellbeing in the Post-anaesthesia Care Anaesthesia (PACU) of Personalized Music and Beverages.","Recruiting","No Results Available","Postoperative Complications|Postoperative Pain","Device: Music via internet and noise canceling headphones|Other: Beverages","Medical University Hospital LKH Graz, Graz, Austria","https://ClinicalTrials.gov/show/NCT04082494"
1973,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics (PK), and Pharmacodynamics (PD) of TAK-988 in Healthy Participants","Not yet recruiting","No Results Available","Healthy Volunteers","Drug: TAK-988|Drug: TAK-988 Placebo","Parexel Internalional - Glendale, Glendale, California, United States|PRA Health Sciences - Salt Lake City, Millcreek, Utah, United States","https://ClinicalTrials.gov/show/NCT04082481"
1974,"VALIDATE: Factor VIII Trending for MS Relapse","Recruiting","No Results Available","Multiple Sclerosis","Diagnostic Test: Blood sample collection for coagulation profile","Barrow Neurological Institute, Phoenix, Arizona, United States","https://ClinicalTrials.gov/show/NCT04082468"
1975,"Carbon Ion Simultaneously Integrated Boost Radiotherapy for Locally Advanced Pancreatic Cancer","Recruiting","No Results Available","Pancreatic Carcinoma","Radiation: carbon ion radiotherapy","Shanghai Proton and Heavy Ion Center, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT04082455"
1976,"Evolocumab in Patients With STEMI","Recruiting","No Results Available","Acute Coronary Syndrome","Drug: Evolocumab|Drug: Placebos","The Johns Hopkins Hospital, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT04082442"
1977,"Research Study to Look at How Well the Drug Concizumab Works in Your Body if You Have Haemophilia Without Inhibitors","Not yet recruiting","No Results Available","Haemophilia A Without Inhibitors|Haemophilia B Without Inhibitors","Drug: Concizumab","Novo Nordisk Investigational Site, Tel-Hashomer, Israel|Novo Nordisk Investigational Site, Krakow, Poland|Novo Nordisk Investigational Site, Lublin, Poland|Novo Nordisk Investigational Site, Warszawa, Poland|Novo Nordisk Investigational Site, Kragujevac, Serbia|Novo Nordisk Investigational Site, Madrid, Spain|Novo Nordisk Investigational Site, Oviedo, Spain|Novo Nordisk Investigational Site, Valencia, Spain","https://ClinicalTrials.gov/show/NCT04082429"
1978,"Study of Recombinant Human B Lymphocyte(RC18) Administered Subcutaneously to Subjects With Systemic Lupus Erythematosus(SLE)","Recruiting","No Results Available","Systemic Lupus Erythematosus","Biological: Placebo plus standard therapy|Biological: RC18 160 mg plus standard therapy","Remegen，ltd., Yantai, Shandong, China","https://ClinicalTrials.gov/show/NCT04082416"
1979,"The Impact of Suction- Assisted Laryngoscopy and Airway Decontamination on Intubation Times","Not yet recruiting","No Results Available","Contaminated Airway","Procedure: Training on Suction Assisted Laryngoscopy and Airway Decontamination|Procedure: No Training on Suction Assisted Laryngoscopy and Airway Decontamination Provided",,"https://ClinicalTrials.gov/show/NCT04082403"
1980,"Effects of the GOLO for Life System Diet With and Without GOLO Release Supplement on Glycemic Control and Insulin Resistance","Not yet recruiting","No Results Available","Diabetes Mellitus, Type 2","Dietary Supplement: RELEASE|Dietary Supplement: Placebo",,"https://ClinicalTrials.gov/show/NCT04082390"
1981,"Effects of Two Different Stepwise Lung Recruitment Maneuvers on Patient Hemodynamics During Laproscopic Surgery","Recruiting","No Results Available","Recruitment","Procedure: Recruitment maneuver with tidal volume (RM TV)|Procedure: Recruitment maneuver by PEEP (RM PEEP)","Urology and nephrology center, Mansoura, El-Dakahlia, Egypt","https://ClinicalTrials.gov/show/NCT04082377"
1982,"Combination Margetuximab, INCMGA00012, MGD013, and Chemotherapy Phase 2/3 Trial in HER2+ Gastric/GEJ Cancer (MAHOGANY)","Not yet recruiting","No Results Available","Gastric Cancer|Gastroesophageal Junction Cancer|HER2-positive Gastric Cancer","Combination Product: margetuximab plus INCMGA00012|Combination Product: Margetuximab plus INCMGA00012 plus chemo|Combination Product: Margetuximab plus MGD013 plus chemo|Combination Product: Margetuximab plus chemo|Combination Product: Trastuzumab plus chemo","University of Chicago, Chicago, Illinois, United States|Cancer & Hematology Centers of Western Michigan - Lemmen-Holton Cancer Pavilion, Grand Rapids, Michigan, United States|Washington University School of Medicine, Saint Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT04082364"
1983,"Using Nanotechnology Structured Water to Control Blood Glucose in Type 2 Diabetic Patients.","Completed","No Results Available","Type2 Diabetes","Dietary Supplement: Nanotechnology structured water ( Magnalife)|Dietary Supplement: ordinary water",,"https://ClinicalTrials.gov/show/NCT04082351"
1984,"Chronic HBV Management for Asian American","Recruiting","No Results Available","Hepatitis B, Chronic","Behavioral: VPN|Behavioral: TM","Department of Psychology, Hunter College, New York, New York, United States|Center for Asian Health, Lewis Katz School of Medicine, Temple University, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04082338"
1985,"Study Investigating the Safety and Tolerability of Lu AF88434 in Healthy Young Men","Recruiting","No Results Available","Healthy","Drug: Lu AF88434|Drug: Lu AF99722 14C spiked dosage ([14C]-radiolabelled Lu AF88434)|Drug: Lu AF99723 14C spiked dosage ([14C]-radiolabelled Lu AF88434)|Drug: Placebo","QPS, Groningen, Netherlands","https://ClinicalTrials.gov/show/NCT04082325"
1986,"Acute Kidney Injury in Adult Patients Supported by VA-ECMO","Completed","No Results Available","Acute Kidney Injury|Cardiogenic Shock","Other: No intervention","Dr Adrien Bouglé, Paris, France","https://ClinicalTrials.gov/show/NCT04082312"
1987,"Immune Response followingTdap Vaccine in Pregnancy","Not yet recruiting","No Results Available","Diphtheria-Tetanus-acellular Pertussis Vaccines",,,"https://ClinicalTrials.gov/show/NCT04082299"
1988,"Yttrium-90 Anti CD66 Monoclonal Antibody in Childhood Relapsed/Refractory Leukaemia","Recruiting","No Results Available","Acute Myeloblastic Leukemia|Acute Lymphoblastic Leukemia|Juvenile Myelomonocytic Leukemia","Other: Yttrium-90 labelled monoclonal antibody against CD66","Great Ormond Street Hospital for Children, London, United Kingdom","https://ClinicalTrials.gov/show/NCT04082286"
1989,"Comparison of Femto-laser and Manually Created Clear Corneal Incisions During Cataract Surgery","Recruiting","No Results Available","Cataract","Device: Femtosecond Laser for Cataract Surgery|Other: Conventional Cataract Surgery","Augenklinik ORASIS AG, Reinach AG, Aargau, Switzerland","https://ClinicalTrials.gov/show/NCT04082273"
1990,"Signatures of Immune Reprogramming in Anti-CD52 Therapy of MS: Markers for Risk Stratification and Treatment Response","Recruiting","No Results Available","Multiple Sclerosis","Drug: Alemtuzumab Injection [Lemtrada]","Department of Neurology, Münster, NRW, Germany","https://ClinicalTrials.gov/show/NCT04082260"
1991,"Healthy Children 2021 Study in Childcare Centers","Recruiting","No Results Available","Family Health|Child Health|Sleep|Child|Executive Function|Pediatric Obesity|Dietary Habits","Behavioral: The education and training of early childhood educators and their intervention on children","University of Minho, Braga, Portugal","https://ClinicalTrials.gov/show/NCT04082247"
1992,"Reducing Disparities in Behavioral Health Treatment for Children in Primary Care","Not yet recruiting","No Results Available","ADHD","Behavioral: Partnering to Achieve School Success (PASS)|Other: Treatment as Usual (TAU) plus Family Education",,"https://ClinicalTrials.gov/show/NCT04082234"
1993,"Comparison of Different Methods for the Analysis of Gut Microbiome Composition","Completed","No Results Available","Healthy","Other: no intervention","Experimental and Clinical Research Center, Clinical Research Unit, Berlin, Germany","https://ClinicalTrials.gov/show/NCT04082221"
1994,"High Flow Nasal Cannula in Patients Undergoing Endoscopic Retrograde Cholangiopancreatography (ERCP) HF-study","Not yet recruiting","No Results Available","Patient Population Submitted to ERCP","Device: High Flow nasal cannula|Device: Low Flow nasal cannula",,"https://ClinicalTrials.gov/show/NCT04082208"
1995,"Impact of A Mobile Game on Pediatric Nutrition and Physical Activity","Completed","No Results Available","Pediatric Nutrition","Other: Fooya mobile game|Other: Uno board game",,"https://ClinicalTrials.gov/show/NCT04082195"
1996,"MIDRIX4-LUNG Dendritic Cell Vaccine in Patients With Metastatic Non-small Cell Lung Cancer","Active, not recruiting","No Results Available","Non-small Cell Lung Cancer Metastatic","Biological: Dendritic cell immunotherapy|Biological: Antigen-specific DTH|Biological: Control DTH","Ghent University Hospital, Ghent, Belgium","https://ClinicalTrials.gov/show/NCT04082182"
1997,"Causes and Consequences of Primary Ovarian Insufficiency","Recruiting","No Results Available","Primary Ovarian Insufficiency|Premature Menopause",,"HaukelandUH, Bergen, Norway","https://ClinicalTrials.gov/show/NCT04082169"
1998,"The Effect of Transcutaneous Electrical Nerve Stimulation on People With Muscle Fatigue Due to Training, Sports","Recruiting","No Results Available","Muscle Fatigue","Device: electrical stimulation|Device: Sham","Omron healthcare Co.,Ltd., Muko, Japan","https://ClinicalTrials.gov/show/NCT04082156"
1999,"CATER: Comprehensive Alveolar and Tooth Esthetic Replacement","Recruiting","No Results Available","Dental Implant Failure Nos","Device: Allograft mucosal enhancement with dental implant|Device: No allograft mucosal enhancement at time of dental implant placement","University of Illinois at Chicago College of Dentistry, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT04082143"
2000,"Xenogenic Collagen Matrix and Subepithelial Connective Tissue Graft in the Treatment of Gingival Recession","Recruiting","No Results Available","Gingival Recession Localized Moderate","Procedure: (XCM)+(CAF)|Procedure: (SCTG)+(CAF)","Department of Periodontics, University of Damascus Dental School, Damascus, Syrian Arab Republic","https://ClinicalTrials.gov/show/NCT04082130"
2001,"Uptake of Genetic Counseling Among African American Women","Recruiting","No Results Available","Breast Cancer Risk","Behavioral: Educational video","University of Illinois Health System, Chicago, Illinois, United States|University of Illinois, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT04082117"
2002,"Assessment of Stuttering Severity in Adults and Adolescences in Conversational and Narrative Contexts","Not yet recruiting","No Results Available","Stuttering","Diagnostic Test: Stuttering Severity Instument version 3",,"https://ClinicalTrials.gov/show/NCT04082104"
2003,"Screening, Early Referral and Lifestyle Tailored E_prescription for Cardiovascular Prevention","Not yet recruiting","No Results Available","Cardiovascular Diseases|Cerebral Infarction|Type2 Diabetes Mellitus|Hypertension,Essential|Prevention","Behavioral: SELECT mHealth Program",,"https://ClinicalTrials.gov/show/NCT04082091"
2004,"[Trial of device that is not approved or cleared by the U.S. FDA]","Withheld","No Results Available",,,,"https://ClinicalTrials.gov/show/NCT04082078"
2005,"Cyriax Manipulation in Lumbar Derangement Syndrome","Completed","No Results Available","Derangement; Low Back","Other: conventional physical therapy|Other: cyriax lumber manipulation group","Riphah International university, Islamabad, Federal, Pakistan","https://ClinicalTrials.gov/show/NCT04082065"
2006,"Evaluating and Predicting Response to a Single Session Intervention for Self-Dislike","Not yet recruiting","No Results Available","Depressive Symptoms|Self-Appraisal","Behavioral: Single Session Interventions","Stony Brook University, Stony Brook, New York, United States","https://ClinicalTrials.gov/show/NCT04082052"
2007,"Two-channel Intravenous Patient-controlled Analgesia (IV-PCA) After Total Laparoscopic Hysterectomy (TLH)","Recruiting","No Results Available","Total Laparoscopic Hysterectomy|Patient-controlled Analgesia","Other: convetional PCA method unsing only 1-channel|Other: utilizing 2-channel","Department of Anaesthesiology and Pain Medicine, Korea University Guro Hospital, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04082039"
2008,"Early Adolescent Skills for Emotions Tanzania Pilot","Completed","No Results Available","Mental Health Wellness 1","Behavioral: Early Adolescent Skills for Emotions EASE)","International Rescue Committee, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04082026"
2009,"Effect of Opposite Leg Position on Hamstring Flexibility in Patients With Mechanical Low Back Pain","Completed","No Results Available","Flexibility","Other: Hamstring Flexibility","Cairo university, Giza, Egypt","https://ClinicalTrials.gov/show/NCT04082013"
2010,"Phase 2a Study Examining the Safety and Efficacy of BOL-DP-o-04 for Treating Diabetic Neuropathy","Recruiting","No Results Available","Diabetic Neuropathy","Drug: BOL-DP-o-04|Drug: Placebo","Wolfson Medical Center, H̱olon, Israel","https://ClinicalTrials.gov/show/NCT04082000"
2011,"Evaluation and Calibration of a Novel Non-invasive Wearable Device for Monitoring Vital Signs","Not yet recruiting","No Results Available","Post-cardiac Surgery|Intensive Care Unit Patients","Device: non-invasive monitoring",,"https://ClinicalTrials.gov/show/NCT04081987"
2012,"Prevalence and Predictors of Poor Distal Leg Perfusion in Minimally Invasive Cardiac Surgery.","Not yet recruiting","No Results Available","Perfusion; Complications","Other: Distal leg perfusion",,"https://ClinicalTrials.gov/show/NCT04081974"
2013,"Feasibility Study to Use Biosensing Devices to Monitor PA and Resp. Function in Smokers w and w/o Resp. Symptoms/COPD","Active, not recruiting","No Results Available","Signs and Symptoms, Respiratory|Mobile Applications|Activity Trackers|Respiratory Function Tests","Device: Anamed OEM device; Air Next mobile spirometry device","Kazakhstan Academy of Preventive Medicine, Almaty, Kazakhstan","https://ClinicalTrials.gov/show/NCT04081961"
2014,"Ultrasound-Guided Erector Spinae Plane Block Following Arthroscopic Shoulder Surgery","Not yet recruiting","No Results Available","Shoulder Syndrome","Other: Erector spinae plane block (Group E)|Other: Sham block group (Group S)","Istanbul Medipol University Hospital, Istanbul, Bagcilar, Turkey","https://ClinicalTrials.gov/show/NCT04081948"
2015,"Distraction Using VR for Children During IV in an Emergency Department","Completed","No Results Available","Pain|Fear","Device: Virtual Reality","National Yang-Ming University, Taipei, Taiwan","https://ClinicalTrials.gov/show/NCT04081935"
2016,"Postoperative Analgesia With Erector Spinae Plane Block After Pectus Excavatum Repair in Children","Not yet recruiting","No Results Available","Pectus Excavatum","Procedure: Erector spinae plane block","Seoul national university hospital, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04081922"
2017,"Opioid Based Anaesthesia vs Opioid Free Anesthesia in Cleft Lip, Palate ,Alveolus Surgery.","Not yet recruiting","No Results Available","Intravenous Anesthesia","Drug: Fentanyl，Remifentanil|Drug: Ketamine,Dexmedetomidine",,"https://ClinicalTrials.gov/show/NCT04081909"
2018,"Evaluation of the Effects of a Rehabilitation Program in Individuals With Spine Pain","Recruiting","No Results Available","Neck Pain|Low Back Pain|Scoliosis|Thoracic Injuries","Other: Exercise","SpineZone, San Diego, California, United States","https://ClinicalTrials.gov/show/NCT04081896"
2019,"Biosensors for Open and Closed-loop Glycemia Control in T1D Patients With Insulin Pump","Not yet recruiting","No Results Available","Diabetes Mellitus, Type 1","Other: Biosensor algorithm","Hôpital Saint-André, Bordeaux, France","https://ClinicalTrials.gov/show/NCT04081883"
2020,"IS Three d Power Doppler of the Endometrial and Subendometrial Regions Effective in Predicting Endometrial Implantation?","Completed","No Results Available","Infertility","Diagnostic Test: 3D power doppler US",,"https://ClinicalTrials.gov/show/NCT04081870"
2021,"A Study to Evaluate the Pharmacokinetics and Safety of HCP1704 in Healthy Subjects","Completed","No Results Available","Health, Subjective","Drug: HGP1810|Drug: HCP1704","Metro hospital, Anyang, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04081857"
2022,"A Study to Evaluate the Pharmacokinetic and Pharmacodynamic Interactions Between HGP0904, HGP0608, and HCP1306 in Healthy Male Subjects.","Completed","No Results Available","Healthy","Drug: HCP1306|Drug: HGP0904|Drug: HGP0608","Korea University Hospital (Anam), Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04081844"
2023,"Effectiveness of Low Dose Aspirin in Decreasing the Chance Getting Stomach and Intestine Cancer","Active, not recruiting","No Results Available","Gastrointestinal Cancer","Drug: Acetylsalicylic Acid (Aspirin, BAYE4465)","Many locations, Multiple Locations, Hong Kong","https://ClinicalTrials.gov/show/NCT04081831"
2024,"A Study on the Effects of Nutritious Mushrooms in Adults With Metabolic Syndrome","Not yet recruiting","No Results Available","Metabolic Syndrome","Other: Nutritious Mushrooms","Andriana Kaliora, Athens, Greece","https://ClinicalTrials.gov/show/NCT04081818"
2025,"LASER and Radiofrequency for Treatment of Vaginal Vulvar Atrophy (VVA) in Women Treated for Breast Cancer (EPMLARF-arm2)","Not yet recruiting","No Results Available","Vaginal Atrophy|Vulva; Atrophy|Breast Cancer","Procedure: LASER|Procedure: Micro Ablative Radiofrequency|Drug: Promestriene","Federal University of Sao Paulo - Unifesp, São Paulo, SP, Brazil","https://ClinicalTrials.gov/show/NCT04081805"
2026,"Optimal Antibiotics for Operated Diabetic Foot Infections","Recruiting","No Results Available","Diabetic Foot Infection|Surgical Wound|Antibiotic Side Effect|Infection","Procedure: Antibiotic therapy","Balgrist University Hospital, Zürich, Zurich, Switzerland","https://ClinicalTrials.gov/show/NCT04081792"
2027,"Survivorship Care Plans and Telehealth Education for the Improvement of Access to Cancer Survivorship, the IMPACT Study","Not yet recruiting","No Results Available","Breast Carcinoma|Cancer Survivor|Colorectal Carcinoma|Lung Carcinoma|Lymphoma|Prostate Carcinoma","Other: Survivorship Care Plan|Other: Educational Intervention|Other: Questionnaire Administration","Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT04081779"
2028,"Pharmacist-Led Study in Controlling Hypoglycemia in Older Adults With Type 2 Diabetes Mellitus","Not yet recruiting","No Results Available","Diabetes Mellitus Type 2 With Hypoglycemia","Behavioral: SUGAR Handshake",,"https://ClinicalTrials.gov/show/NCT04081766"
2029,"Remote Outpatient Temperature Monitoring for Early Detection of Febrile Neutropenia After Chemotherapy","Not yet recruiting","No Results Available","Acute Myeloid Leukemia (AML)","Device: Remote monitoring of temperature",,"https://ClinicalTrials.gov/show/NCT04081753"
2030,"Biological Determinants of Sputum Rheology in Chronic Airway Diseases","Not yet recruiting","No Results Available","Asthma|COPD|Bronchiectasis",,"Arnaud de Villeneuve Hospital, Montpellier, France","https://ClinicalTrials.gov/show/NCT04081740"
2031,"[Trial of device that is not approved or cleared by the U.S. FDA]","Withheld","No Results Available",,,,"https://ClinicalTrials.gov/show/NCT04081727"
2032,"Intermediate Expanded Access Protocol for ALS","Available","No Results Available","Amyotrophic Lateral Sclerosis","Drug: CNM-Au8","Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04081714"
2033,"68-Ga DOTATATE PET/MRI in the Diagnosis and Management of Somatostatin Receptor Positive CNS Tumors.","Recruiting","No Results Available","CNS Tumors|Meningioma|Esthesioneuroblastoma|Hemangioblastoma|Medulloblastoma|Paraganglioma|Pituitary Adenoma","Diagnostic Test: Ga68-DOTATATE-PET/MRI","Jana Ivanidze, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04081701"
2034,"Atezolizumab and Varlilumab in Combination With Radiation Therapy for NSCLC","Not yet recruiting","No Results Available","Metastatic Lung Non-Small Cell Carcinoma|Refractory Lung Non-Small Cell Carcinoma|Stage III Lung Cancer AJCC v8|Stage IIIA Lung Cancer AJCC v8|Stage IIIB Lung Cancer AJCC v8|Stage IIIC Lung Cancer AJCC v8|Stage IV Lung Cancer AJCC v8|Unresectable Lung Non-Small Cell Carcinoma","Drug: Atezolizumab 1200 MG in 20 ML Injection|Radiation: Stereotactic Body Radiation Therapy|Drug: Varlilumab 3 mg/kg","Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, United States","https://ClinicalTrials.gov/show/NCT04081688"
